rank,cbsa,name,core_name,state,population,vintage
160,40420,"Rockford, IL Metro Area",Rockford,IL,337103,2024
161,24580,"Green Bay, WI Metro Area",Green Bay,WI,334697,2024
162,14500,"Boulder, CO Metro Area",Boulder,CO,330262,2024
163,43780,"South Bend-Mishawaka, IN-MI Metro Area",South Bend-Mishawaka,IN-MI,325294,2024
164,17980,"Columbus, GA-AL Metro Area",Columbus,GA-AL,324343,2024
165,28420,"Kennewick-Richland, WA Metro Area",Kennewick-Richland,WA,319428,2024
166,40220,"Roanoke, VA Metro Area",Roanoke,VA,315749,2024
167,28700,"Kingsport-Bristol, TN-VA Metro Area",Kingsport-Bristol,TN-VA,313876,2024
168,25180,"Hagerstown-Martinsburg, MD-WV Metro Area",Hagerstown-Martinsburg,MD-WV,311295,2024
169,18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",Crestview-Fort Walton Beach-Destin,FL,310149,2024
170,43620,"Sioux Falls, SD-MN Metro Area",Sioux Falls,SD-MN,308266,2024
171,47380,"Waco, TX Metro Area",Waco,TX,307123,2024
172,36500,"Olympia-Lacey-Tumwater, WA Metro Area",Olympia-Lacey-Tumwater,WA,302912,2024
173,32900,"Merced, CA Metro Area",Merced,CA,296774,2024
174,30980,"Longview, TX Metro Area",Longview,TX,295490,2024
175,46540,"Utica-Rome, NY Metro Area",Utica-Rome,NY,287932,2024
176,17780,"College Station-Bryan, TX Metro Area",College Station-Bryan,TX,287462,2024
177,35980,"Norwich-New London-Willimantic, CT Metro Area",Norwich-New London-Willimantic,CT,282602,2024
178,46220,"Tuscaloosa, AL Metro Area",Tuscaloosa,AL,281963,2024
179,42020,"San Luis Obispo-Paso Robles, CA Metro Area",San Luis Obispo-Paso Robles,CA,281843,2024
180,20260,"Duluth, MN-WI Metro Area",Duluth,MN-WI,281815,2024
181,14740,"Bremerton-Silverdale-Port Orchard, WA Metro Area",Bremerton-Silverdale-Port Orchard,WA,281420,2024
182,16300,"Cedar Rapids, IA Metro Area",Cedar Rapids,IA,278677,2024
183,43640,"Slidell-Mandeville-Covington, LA Metro Area",Slidell-Mandeville-Covington,LA,277615,2024
184,11100,"Amarillo, TX Metro Area",Amarillo,TX,274650,2024
185,29700,"Laredo, TX Metro Area",Laredo,TX,272823,2024
186,21780,"Evansville, IN Metro Area",Evansville,IN,271793,2024
187,22020,"Fargo, ND-MN Metro Area",Fargo,ND-MN,267793,2024
188,21500,"Erie, PA Metro Area",Erie,PA,267750,2024
189,31340,"Lynchburg, VA Metro Area",Lynchburg,VA,266432,2024
190,28020,"Kalamazoo-Portage, MI Metro Area",Kalamazoo-Portage,MI,264780,2024
191,13460,"Bend, OR Metro Area",Bend,OR,264407,2024
192,42100,"Santa Cruz-Watsonville, CA Metro Area",Santa Cruz-Watsonville,CA,262406,2024
193,19300,"Daphne-Fairhope-Foley, AL Metro Area",Daphne-Fairhope-Foley,AL,261608,2024
194,49420,"Yakima, WA Metro Area",Yakima,WA,258523,2024
195,39150,"Prescott Valley-Prescott, AZ Metro Area",Prescott Valley-Prescott,AZ,252013,2024
196,46340,"Tyler, TX Metro Area",Tyler,TX,249091,2024
197,11540,"Appleton, WI Metro Area",Appleton,WI,248992,2024
198,13780,"Binghamton, NY Metro Area",Binghamton,NY,243971,2024
199,29340,"Lake Charles, LA Metro Area",Lake Charles,LA,242975,2024
200,16580,"Champaign-Urbana, IL Metro Area",Champaign-Urbana,IL,242453,2024
